id,Дата,UserID,Продукт,Количество,Цена
1,2017-05-30,118,Парогенератор,18,31217
2,2021-03-25,169,Ноутбук,4,28447
3,2023-12-09,45,Соковыжималка,10,40225
4,2018-03-13,77,Электрическая зубная щетка,3,847
5,2009-10-11,27,Умные часы,1,31028
6,2020-12-01,14,Робот-пылесос,2,28589
7,2019-07-07,183,Электрическая зубная щетка,2,667
8,2012-03-03,34,Стиральная машина,9,44363
9,2016-03-01,214,Парогенератор,6,4368
10,2011-08-01,254,Сенсорная лампа,10,43137
11,2017-11-17,14,Сенсорная лампа,18,8859
12,2011-11-17,43,Беспроводные наушники,13,20955
13,2012-12-04,266,Соковыжималка,4,1430
14,2021-10-23,260,Портативная колонка,10,41675
15,2014-04-02,210,Стиральная машина,13,45110
16,2016-02-18,27,Микроволновая печь,2,27884
17,2022-11-13,56,Стиральная машина,20,19749
18,2014-11-25,293,Соковыжималка,8,47934
19,2005-07-19,36,Холодильник,12,37366
20,2007-10-15,278,Парогенератор,7,17002
21,2011-08-30,103,Соковыжималка,12,13963
22,2020-11-18,242,Беспроводные наушники,3,13450
23,2020-09-24,229,Стиральная машина,8,47398
24,2007-01-30,83,Холодильник,17,24515
25,2022-11-18,1,Ноутбук,3,4956
26,2023-02-25,127,Беспроводные наушники,5,30092
27,2009-04-27,85,Электрическая зубная щетка,13,11751
28,2016-01-24,69,Портативная колонка,18,39574
29,2006-04-03,217,Парогенератор,2,14700
30,2009-08-24,263,Робот-пылесос,15,30990
31,2019-11-21,93,Парогенератор,1,38096
32,2017-05-12,145,Электрочайник,1,34808
33,2013-02-22,193,Соковыжималка,16,21146
34,2010-10-08,210,Игровая консоль,15,14972
35,2024-09-03,42,Внешний жесткий диск,5,10862
36,2006-03-01,202,Планшет,6,44168
37,2005-03-22,145,Электрическая зубная щетка,8,4506
38,2021-02-15,23,Умные часы,12,15970
39,2015-12-30,64,Игровая консоль,5,37261
40,2015-08-31,289,Цифровая камера,11,15753
41,2017-08-13,276,Умные часы,12,41771
42,2022-05-28,100,Планшет,13,45198
43,2019-06-27,61,Стиральная машина,8,19524
44,2019-04-15,62,Электрочайник,13,13485
45,2016-11-19,147,Микроволновая печь,18,49889
46,2018-09-07,204,Холодильник,13,32098
47,2008-04-27,278,Планшет,12,17107
48,2015-04-30,124,Цифровая камера,3,31856
49,2014-02-26,42,Сенсорная лампа,15,3879
50,2012-09-12,300,Цифровая камера,12,1571
51,2012-11-08,150,Цифровая камера,13,29315
52,2005-12-06,214,Цифровая камера,9,19098
53,2014-12-02,275,Электрическая зубная щетка,17,9777
54,2023-11-08,179,Игровая консоль,4,37466
55,2014-06-11,99,Беспроводные наушники,20,28487
56,2024-01-17,20,Ноутбук,20,5244
57,2009-08-18,73,Игровая консоль,9,44345
58,2019-07-18,51,Игровая консоль,17,33362
59,2010-09-04,258,Электрочайник,5,16275
60,2020-06-28,40,Робот-пылесос,17,12079
61,2011-02-22,213,Планшет,1,4271
62,2023-03-20,260,Внешний жесткий диск,17,5633
63,2017-03-14,44,Микроволновая печь,18,45993
64,2007-06-20,30,Цифровая камера,4,30106
65,2013-11-21,166,Холодильник,12,15585
66,2015-08-19,171,Беспроводные наушники,19,3953
67,2011-05-02,285,Стиральная машина,9,24052
68,2019-07-25,37,Планшет,13,10892
69,2014-12-16,180,Электрическая зубная щетка,20,38463
70,2022-12-15,262,Смартфон,2,9912
71,2013-09-26,163,Холодильник,15,40539
72,2022-01-04,132,Умные часы,6,15816
73,2013-09-29,71,Соковыжималка,11,49132
74,2013-09-06,269,Микроволновая печь,1,38212
75,2013-12-06,240,Электрическая зубная щетка,15,48551
76,2007-08-31,26,Электрочайник,13,19044
77,2013-06-29,119,Робот-пылесос,3,34156
78,2005-11-23,228,Микроволновая печь,17,37306
79,2020-09-09,100,Соковыжималка,7,6117
80,2012-05-15,178,Игровая консоль,14,21435
81,2010-08-28,30,Беспроводные наушники,4,47351
82,2016-10-13,212,Сенсорная лампа,5,3976
83,2017-09-13,28,Робот-пылесос,2,28586
84,2020-10-06,171,Беспроводные наушники,7,11044
85,2006-05-28,288,Электрочайник,13,26057
86,2012-05-17,284,Электрическая зубная щетка,17,18300
87,2013-09-13,208,Соковыжималка,1,48757
88,2018-03-11,7,Игровая консоль,1,7891
89,2015-06-05,6,Портативная колонка,9,9285
90,2007-08-13,74,Смартфон,15,32319
91,2024-01-10,263,Соковыжималка,18,31332
92,2019-08-05,223,Холодильник,12,47637
93,2013-09-15,31,Сенсорная лампа,20,15295
94,2011-11-22,298,Планшет,8,5890
